sim_beta_c_cCond,sim_beta_e_cCond,sim_beta_c_eCond,sim_beta_e_eCond,sim_alpha,sim_q_init,fit_beta_c_cCond,fit_beta_e_cCond,fit_beta_c_eCond,fit_beta_e_eCond,fit_alpha,fit_q_init
0.84414,1.5616,-1.1861,-2.1829,-1.8116,3.933,1.2847,1.4638,-0.61457,-0.54155,-1.9483,3.6708
-0.97125,1.7491,-0.7615,1.7537,-0.91524,2.0089,0.50038,2.1731,1.0103,2.399,-1.75,0.99967
2.9401,1.7241,1.756,2.5637,1.0894,-0.98433,2.8474,1.9275,1.7611,2.4117,0.55663,-1.1259
0.52451,-1.4302,-0.037508,0.6663,0.90448,-2.5324,0.006402,-1.1702,0.23002,0.72328,0.79853,-0.67674
0.074256,-0.11889,0.6003,2.8986,-3.9798,1.8119,0.7672,-0.0065218,-0.19085,2.6952,-3.1414,2.4665
0.68353,0.88973,1.0491,2.2075,0.73569,3.6191,1.0917,0.37559,0.87937,2.1695,1.7786,3.4934
-0.91736,-1.7653,-2.0182,3.9288,1.2391,3.0914,-0.86425,-0.40588,-0.062726,3.7712,1.31,1.7939
-0.51081,0.78833,-1.4944,4.2806,1.6497,-0.03067,-1.4185,0.77727,0.057384,3.8838,1.2542,-0.043576
1.1036,1.8357,1.2369,3.972,1.2139,2.0639,1.4187,1.6075,-0.055833,4.1691,1.8243,2.9535
-0.63921,-1.4432,-1.2262,0.48361,0.52675,3.5527,-2.1433,-1.6886,-0.68524,0.79939,1.4532,0.72068
-1.3975,3.8789,1.1017,1.1399,-1.3941,-1.4821,-0.066658,3.7582,-0.23288,1.0419,-1.4892,-1.4562
0.39641,-0.2524,-1.1578,-0.86832,-2.5329,0.43263,1.2309,-0.25769,-1.2807,-1.1031,-2.6877,0.24908
-0.15411,1.5881,-1.2244,1.4433,-2.7094,2.248,0.7102,1.27,-1.2082,1.5807,-3.0493,2.3293
-0.74568,1.7164,0.77053,-1.6762,-3.4109,0.22119,1.2588,-0.066705,-0.32069,-1.3165,-3.23,0.55889
2.6457,2.8482,2.5026,0.087589,1.7419,3.4147,2.4492,2.6071,2.9816,-0.20847,1.5072,3.7777
2.8541,0.73433,-1.4009,3.5538,1.3497,-1.083,2.9938,1.3667,2.3157,4.5239,0.83526,-1.0061
0.85185,3.5695,1.1542,4.2826,-1.414,-0.9692,0.12819,3.8419,1.2404,3.8723,-1.3698,-0.90634
-0.20995,-0.84026,0.32766,0.54986,-4.1113,0.83631,-0.22433,-0.93774,1.1838,-0.11541,-3.5287,1.1258
1.0922,2.4839,1.3622,2.3394,-0.11389,2.7512,-0.55172,3.0631,0.8858,2.6259,-0.57898,1.8181
-0.39818,2.6323,-1.4853,4.3712,-2.2373,-1.5609,0.26321,2.3065,1.5603,3.9078,-1.9737,-1.9376
2.1695,1.7739,0.3043,3.8974,-2.3967,1.4313,1.9742,1.5959,2.5229,4.495,-2.0374,1.9132
0.078292,1.6461,-0.15732,3.4009,-3.4936,-0.63544,-1.0514,0.15872,-0.093909,2.0226,-2.0117,-2.1945
0.08916,1.7656,2.6495,0.59408,-1.4752,0.81409,-0.77516,1.5416,2.4201,-0.28127,-1.2393,1.0385
-0.79124,1.4145,-1.221,-0.79248,0.2312,1.1914,0.49715,0.65003,-1.0416,-1.1889,1.7275,1.5703
2.7798,3.3843,-1.0985,0.2026,1.1847,-2.3895,2.8789,2.8679,-0.69376,-0.088792,1.4841,-4.7848
0.70718,3.2699,1.8017,1.5337,0.11923,-0.51291,0.31199,3.3517,1.5533,1.2613,0.088337,-0.65993
2.6214,0.30627,0.52432,-0.17853,-2.0173,-1.3882,2.7499,1.4641,-0.86421,1.4358,-2.3872,-0.79711
-0.27791,-0.92902,-1.8743,3.5244,-0.73238,2.8397,-0.92249,-0.53629,1.5526,3.374,-0.68624,2.3616
-0.43502,-0.75592,-1.815,1.7682,1.2463,0.81347,-0.49392,-0.61985,0.40201,2.1276,0.40411,0.45005
3.2677,-0.34422,1.4739,3.9584,-0.10812,-0.23592,2.9978,1.2609,-0.78368,3.7689,0.38195,-0.2526
-0.052095,1.4616,-0.18391,1.2996,1.1313,-0.013543,0.25244,1.9575,0.77067,1.3769,-0.14259,-0.24323
2.1933,2.3652,1.8772,-0.49088,-0.48237,-1.5118,1.7154,2.2807,1.6302,0.23279,-0.0049615,-1.9103
-0.37053,3.2384,-1.328,0.98513,-0.6171,3.7785,-0.33597,3.4786,-0.11493,1.0737,-0.76427,2.8494
3.073,3.6164,2.2866,3.8025,1.1854,3.1309,2.4317,2.9766,1.8482,3.4108,1.1501,2.9964
-0.47663,2.8493,1.7982,-0.1008,0.99408,-0.32106,-1.0662,2.9506,1.5764,-1.2485,1.4938,-0.53331
1.4366,-0.31513,-0.36292,0.74692,-2.2157,3.9429,1.5607,-0.25603,-0.29547,0.24484,-2.2426,3.6671
-0.83361,-0.29964,2.6897,4.0124,1.5136,2.8086,-1.7999,0.35732,2.2665,3.5396,2.3681,2.9322
-0.15037,-0.010312,-1.3341,-0.057472,0.60921,-0.56982,-0.34496,-0.88046,-0.98738,0.66342,0.46863,-0.73084
0.75705,1.249,2.4997,3.3397,-1.4353,3.4882,0.51033,1.5551,2.2981,3.389,-1.8641,2.3122
1.3253,-0.92255,0.62092,0.48429,-1.4865,1.7949,1.298,1.3398,1.4419,1.385,-1.984,0.60993
0.6327,-0.86886,1.6794,0.41283,-1.8555,0.074281,-0.70338,1.2886,1.0446,0.75306,-1.2525,-0.50565
0.73791,3.7678,1.699,3.9302,1.2299,1.5083,-0.37702,4.0476,2.2419,4.2029,0.41893,0.94769
2.3526,1.4026,-0.18989,0.95626,-0.87883,3.3561,1.8565,2.3403,0.77471,1.2182,-0.85517,2.4178
-0.85916,1.1247,1.3535,3.4683,1.1046,1.2196,-1.8619,1.2424,0.56442,3.1766,1.0274,1.0354
0.47826,3.1968,2.0711,4.1165,-0.24956,1.9622,0.37858,3.2498,1.8186,3.5274,-0.33998,2.051
0.076668,0.21633,-0.43053,1.0882,-1.7297,4.0205,-1.2888,0.9684,0.4675,1.9508,-2.5268,1.8251
2.0605,-0.7557,2.5419,-1.4038,-0.26137,-1.4331,1.9854,1.1843,2.3574,-0.33786,-0.037225,-1.6088
-1.3319,0.77167,-0.13968,2.5295,-2.2882,4.4189,0.71633,0.81223,-0.16488,3.8772,-2.5234,3.0555
2.3715,-0.96134,0.0093109,-1.1023,-2.1028,2.1892,2.1688,-0.097691,-0.448,-0.8437,-1.9966,2.0881
1.1282,1.2554,0.58349,0.53262,0.39555,1.1429,0.62209,1.2817,0.66301,0.73523,0.44479,1.0371
0.99603,0.96339,1.8744,3.6772,-2.7816,2.2489,0.28758,1.2301,3.4715,3.0398,-2.4304,3.1323
-1.4569,-1.7773,-0.90419,4.1953,0.85223,-2.093,-1.5247,-0.51242,-0.1086,4.7182,0.077633,-1.4625
2.376,4.0622,1.6349,-1.4324,-0.44481,3.674,2.7534,4.9606,1.5829,-1.1459,-0.16583,4.3988
1.5451,1.3488,0.30244,1.6215,-0.11788,-0.034341,1.7742,1.3791,0.28167,1.7679,0.41721,0.02427
0.59089,1.4543,-1.6042,-0.70537,1.0717,0.89472,1.3269,0.70678,-0.89319,-1.5397,1.606,1.0572
1.6258,-1.4325,0.54801,1.9141,-3.2909,-1.3761,-0.85918,-0.46696,0.64232,1.5067,-2.3933,-2.703
-0.17423,-0.49076,-0.84936,3.6123,1.7484,0.95337,-0.70377,0.095369,-0.08129,4.0603,1.5002,1.1184
2.7073,-1.7972,-1.0156,-0.24317,-1.1048,3.0437,2.4755,0.29208,-1.6972,-0.50197,-1.1606,2.7389
0.67728,3.117,-0.60308,2.4903,-1.9336,-2.2686,-0.64997,3.1668,1.0338,2.6179,-2.0682,-2.0271
2.0281,1.6156,0.74958,-1.1645,0.33428,-1.565,2.0613,2.0598,0.52705,-0.18872,0.45539,-0.905
0.25476,2.0489,-0.0087085,-1.7533,-0.53855,0.33404,0.56362,3.0101,-0.50743,-1.3402,-1.9646,0.20866
-0.53564,2.9833,0.88575,2.5855,-0.8723,2.2493,-0.61242,3.1503,1.1627,2.4091,-0.91682,2.2607
1.9779,3.2544,0.11434,2.1224,-0.89397,0.25458,1.8678,2.6302,0.45629,2.3011,-0.88855,0.52656
2.2821,-0.21773,-1.3021,3.2653,-1.4233,3.8617,2.5418,-0.67964,0.030032,3.8031,-1.8398,2.4749
2.6407,1.3997,-0.86702,2.8049,-3.5873,1.2373,2.6742,0.70808,-0.264,2.7704,-3.9686,1.2015
1.8157,-1.0877,-1.4059,1.9026,-0.76861,2.1525,1.7322,-1.3816,0.49348,2.1162,-0.9651,2.0044
-0.80361,3.0097,2.402,1.488,-0.32448,-2.482,0.33983,3.7967,2.6592,1.5644,-0.652,-1.3066
0.75287,-0.7693,2.0113,-0.93615,0.63565,4.0917,-0.65507,-0.053847,1.9639,0.0005541,0.72772,4.3606
-1.4297,1.5294,1.3785,-1.4104,1.2812,3.4616,-1.4172,1.479,1.3562,-0.38984,1.5706,2.8326
1.3831,1.7166,1.1956,2.7208,-0.87831,1.3865,1.1573,1.1156,0.75561,2.1674,-0.38019,1.4128
0.97712,0.60419,-0.69751,-1.2056,-2.4312,3.3885,-1.248,1.7942,-1.3559,0.47885,-2.1915,2.2085
3.0221,1.6307,2.3828,2.0693,0.30271,1.7601,3.0154,0.97274,2.1845,1.9492,0.43625,2.0568
1.0708,0.025844,-1.5682,-2.125,0.26409,2.5294,0.62887,1.2414,-1.383,-1.0045,0.44392,1.544
2.5503,1.1519,2.6428,3.4507,-3.2618,-2.4792,2.7863,-0.14647,0.038257,4.2449,-3.4539,-1.664
2.5402,2.1207,1.2944,1.2871,-3.1485,2.5807,2.9775,0.20719,1.5687,0.27924,-3.6643,2.8801
0.44382,-1.2349,1.8706,3.663,1.3201,1.9862,0.38392,0.37428,2.8086,4.2916,2.358,3.2911
1.2779,-0.488,-0.23034,3.925,-0.53208,0.81512,1.0163,-1.4363,0.76759,3.9669,-0.36626,0.54451
1.162,-1.0417,1.2597,0.6181,1.387,2.9789,1.494,-1.7976,1.5117,0.84855,0.86219,1.3773
2.8363,-1.799,-0.89929,2.2761,-3.1863,2.3749,2.453,0.70469,-0.12954,2.0518,-2.9949,2.9295
-0.29823,2.1583,-1.4977,-1.5981,1.606,3.3948,-0.7761,2.4882,-1.8364,-2.0728,0.33765,2.1559
-1.3035,1.5404,-1.4131,3.2585,-1.0594,1.3676,-1.3577,1.6156,-0.14576,3.4742,-1.1514,0.941
0.75139,0.59222,-1.5034,-1.3527,-0.95192,-1.3459,1.9668,0.19562,-1.2453,-1.0544,-2.4403,-0.66171
1.3374,1.8236,-1.4367,2.9877,0.95517,4.073,0.9726,2.2129,-1.4296,2.7641,1.7387,3.0429
3.2492,-0.42659,-0.5915,4.3586,0.70851,2.4579,3.5552,0.96752,-0.36889,4.2469,0.71995,3.2245
0.94974,2.9627,1.6964,3.5385,-3.0042,-0.63186,0.43041,1.9481,0.23166,2.4496,-2.0739,-2.0177
0.8196,1.7486,-1.4252,2.297,-3.7819,2.5726,0.29956,1.9426,-0.17945,2.3445,-4.1567,2.5282
2.7323,2.0392,2.253,0.65712,-3.4252,3.2151,0.043264,3.4684,0.073602,2.4528,-3.4072,2.6523
-0.45109,0.5372,-0.24994,3.5265,-0.51582,-0.51476,-0.74255,0.87039,0.97704,3.6108,-0.68227,-0.47302
-0.13805,-0.268,1.3751,-1.4043,-0.30854,4.1572,-0.10096,-0.67979,1.5289,-0.77488,-0.48972,3.7768
-0.96719,-1.0646,0.0076117,-0.75225,1.2964,-2.0682,-1.0041,-0.071102,0.29178,-1.0818,1.8049,-0.13109
-0.34004,2.2709,1.0179,1.7925,1.7379,-1.0313,-1.2207,2.7289,0.89157,1.7725,1.4361,-0.47576
3.2144,1.9985,1.4212,0.21808,0.48823,3.4597,3.0675,2.1736,1.2242,0.1421,0.22706,2.929
1.7501,2.2679,0.53134,2.9854,-3.3005,-2.3153,2.3781,1.5757,-0.090685,2.5175,-3.7748,-2.7453
2.0029,0.16522,-0.80042,3.1315,-0.69605,1.5394,2.1904,-0.7737,0.52728,2.8252,-0.56583,1.8482
0.42417,3.4537,2.2532,-0.16318,-1.6332,-0.68263,1.0292,3.1503,2.3917,-0.95675,-1.6524,-0.67399
0.8903,1.9777,-0.98327,1.6919,-0.35333,0.0031361,1.151,2.6177,-0.34031,1.7456,-1.3615,0.054419
2.8282,-1.0869,1.9203,-1.438,-0.92197,0.9686,2.654,-0.038575,1.8818,-1.4354,-0.78536,0.86671
-1.2519,0.012418,0.28868,2.1325,-0.95816,1.422,0.2015,-0.75825,-0.15354,2.0914,-0.65688,1.8546
1.4539,-1.3406,-0.68199,-0.51224,-1.3852,-2.256,1.3299,-0.79517,-0.34232,-0.60764,-0.79885,-2.9823
-0.77786,0.32699,2.599,4.2001,-2.5439,-0.63586,-0.54667,-1.7245,1.8325,3.0748,-1.2847,-2.1807
2.3657,1.6917,1.6739,-0.92029,0.21339,1.4473,2.5916,1.6237,1.8937,-1.0528,0.056991,1.1196
0.57681,2.2003,-1.0367,1.5352,1.5954,1.3224,-1.2219,2.4047,-0.43144,1.4237,1.0118,1.1689
-0.42247,-0.42233,-1.181,1.2297,1.1399,1.9014,-0.52832,0.79403,-2.0733,1.3429,1.4348,0.9333
-0.78635,1.8407,0.41471,0.38057,-1.248,-0.98176,-0.14057,1.855,0.65111,0.57599,-1.3028,-0.73654
0.0091481,0.805,-1.646,0.042576,-0.58737,2.176,-0.28219,1.8479,-1.5611,1.4758,-1.6402,0.53909
1.0693,0.97969,2.1567,4.2447,-1.1292,2.1648,1.3624,0.29515,2.563,5.3092,-1.2497,1.9335
-0.04457,3.8049,-1.255,-0.97123,-3.0399,-2.0493,-0.047831,3.7404,0.039015,-1.175,-3.1639,-2.42
0.088003,-1.6236,-1.3773,0.21456,-1.4553,0.11928,-0.72113,1.1246,-1.0852,-1.1641,-2.8931,1.5713
2.121,1.1343,-0.49821,-2.0315,-0.86868,-1.12,1.793,1.1705,-1.3594,-2.324,-0.38901,-0.80192
2.2614,-1.0256,-0.77484,-0.75789,-0.4332,4.5616,2.5344,-0.81153,-1.1307,-0.19102,-1.2615,2.1805
2.7831,2.6123,0.38596,-0.92978,-0.18385,3.3082,2.4331,2.7105,-0.054277,-2.3391,0.14118,2.4681
-0.1457,2.4504,1.4551,0.54105,1.3579,4.3762,1.0325,2.3606,1.7536,0.40746,0.66328,3.1064
-1.1211,-1.7577,-1.9345,0.86316,-3.4482,2.4187,-0.80477,-1.018,-0.040624,-0.54814,0.0096973,1.4377
2.7872,3.6797,-0.86667,0.78671,-3.4132,-1.4054,-0.21438,3.9845,-0.79885,0.76703,-2.6758,-1.3618
-1.2622,0.7729,2.5276,0.43612,-1.7484,1.7076,-0.75585,-0.58122,2.8449,-0.063785,-2.6072,0.95999
1.0984,2.9712,2.079,2.1661,0.27647,-0.71884,1.676,2.9451,1.8724,1.8305,0.38709,-0.95593
1.9784,3.6727,0.058657,4.2757,-3.5487,-0.17606,1.6314,1.7331,-0.5764,3.2518,-2.0549,-0.79462
0.26294,-1.0954,-0.18697,-1.5154,-3.6851,1.5399,-1.2218,1.4901,0.21665,-0.84972,-1.8948,1.8556
-0.042175,4.0908,0.16669,4.3261,-1.2415,0.31312,0.55954,3.6387,1.0094,4.1757,-1.1939,0.38388
3.1789,2.1187,0.15602,1.7542,-0.67706,-1.5315,2.9383,1.857,0.27729,1.3912,-0.47119,-2.264
0.0076163,-0.17928,0.55917,0.17746,-2.91,-1.5581,-1.3302,0.059356,1.5447,-1.2502,-2.3522,-1.7176
1.7627,2.1032,1.2261,-1.3246,0.24957,-1.6773,1.9492,1.2236,1.2181,-1.6894,0.50337,-1.698
1.959,2.5433,2.0747,3.7858,-1.808,0.42753,1.6827,1.5648,1.6836,3.1817,-1.1773,0.79639
-0.1695,0.17974,0.79833,-2.1259,-3.7314,1.0645,-1.7735,-1.4242,-0.25276,0.50177,-2.698,1.641
-1.09,-0.94871,-0.21377,0.23012,-3.6057,3.7637,-0.89483,-1.1597,0.36179,1.3652,-4.0693,1.8014
-0.59203,3.218,0.92813,3.3144,1.3574,0.79975,-0.60203,2.8602,0.98485,3.1811,0.91809,1.0563
-0.4196,2.2405,-0.68644,1.0018,0.59752,-1.1549,-1.2173,2.6471,-0.55431,1.4676,0.90618,-0.96751
2.5466,0.35428,0.62271,1.006,1.5039,0.95257,2.9734,0.25874,0.79397,0.93972,0.79922,0.47819
2.3997,3.6714,-1.1412,0.84802,1.1107,3.7849,1.685,3.5143,-0.81381,0.87333,0.91187,5.1432
0.67664,0.018638,1.4491,1.0216,0.60378,2.3974,0.46587,-0.011764,1.0927,1.1037,0.85363,2.3944
2.2534,3.9839,-0.6721,2.4495,0.81283,2.6395,2.7735,4.8862,-1.3538,2.7162,0.50413,1.529
0.15446,0.18496,2.6669,3.1453,-3.385,4.356,-0.38087,0.71236,0.15241,3.6929,-3.2134,2.5117
3.0155,-1.2157,1.4459,-2.0236,-1.4307,1.2711,3.4174,-0.49957,1.963,-0.64949,-1.828,0.92351
0.79721,1.7647,2.1147,1.0656,-2.4736,0.48725,-1.1548,1.8535,2.0716,-0.17076,-2.057,0.58301
2.1569,1.7151,-0.78227,3.338,-1.2323,-0.81059,2.3447,0.93939,-0.83588,3.5094,-1.6473,-0.63853
-0.38311,0.34169,1.2537,4.2229,-3.812,2.1185,-1.1994,0.83337,0.11204,3.7058,-3.3492,2.5389
-1.1068,-0.14709,1.2394,4.0767,-3.3932,1.6929,-1.251,0.1439,0.012971,4.1837,-2.7175,2.4348
-1.3555,-0.19564,2.684,1.435,-1.8827,0.053666,-0.90478,-0.25333,2.7911,1.6825,-1.7786,-0.050391
2.8227,-1.3223,0.31988,-1.365,0.67352,1.5819,2.9209,0.40538,0.57213,-0.022783,0.1441,1.5556
-1.3657,-0.61385,-1.5711,-0.087146,-3.7434,-0.93952,-1.7399,0.54664,-1.2836,-0.12665,-2.0778,-0.73306
-1.3684,0.22651,0.15292,2.1162,0.99139,4.0764,-2.0318,0.26784,1.1418,2.2536,1.8032,4.5884
-0.82156,0.76751,0.35381,0.0007893,-2.3121,-1.8407,-0.16152,1.0893,-1.2739,0.64423,-2.3936,-1.3613
0.80315,-0.5531,0.85937,-2.0202,-3.0754,-1.8208,-0.85455,1.4824,-1.0371,0.42964,-2.7822,-1.4032
0.70485,3.4637,1.0972,-1.5328,0.84402,2.0126,0.15435,3.4376,1.1353,-2.1517,0.81271,1.6406
3.105,2.8394,1.3255,2.5342,-1.0722,1.1639,2.9146,2.2318,0.90095,2.1968,-0.77407,1.7619
-0.77511,2.8198,-1.1458,1.8651,-0.047028,2.858,-0.6408,2.7133,-1.328,1.8108,0.18618,3.3568
-1.3517,-0.078128,1.1934,1.6253,-0.079203,0.32138,-0.18417,-0.98534,0.95752,1.3402,0.29136,-0.35036
0.26061,1.99,0.1783,3.6791,-2.58,0.77304,0.78885,1.4348,-0.39943,3.3152,-2.2704,1.1885
0.58338,1.0257,0.62951,-0.68727,1.5562,-1.5132,-0.38979,1.7279,1.1222,-0.047028,-0.11361,-0.97529
1.6469,-1.6622,-0.86399,1.9552,0.94192,-1.6163,1.694,-0.45775,-0.98699,2.3619,-0.42822,-1.1138
-0.11102,1.7485,-1.3656,-0.65852,-1.7634,-2.1072,-0.63082,1.7668,-1.8197,-1.4366,-1.414,-2.6503
0.24278,-1.6995,1.668,1.6446,0.19269,-1.5502,-0.34494,-0.4453,1.8239,1.7203,1.0651,-1.5604
1.3959,2.933,2.0608,2.5318,-1.4938,3.3739,0.37668,2.9752,2.5294,3.1835,-1.6506,2.4065
-0.61574,0.3342,1.2378,2.293,-0.27252,3.8037,-0.64548,0.6873,1.4158,2.3541,-0.24874,3.5922
1.6592,-1.4575,1.0974,2.6681,-2.484,-2.4178,1.4578,-1.199,1.2625,2.3334,-2.3501,-3.3226
2.007,-0.809,-1.3888,2.1938,0.5026,-0.80012,2.003,0.39713,-0.42154,2.8384,-0.040029,-0.31801
0.7683,2.9306,2.5151,-0.22719,1.3592,1.7033,0.83933,3.02,2.3465,0.35128,1.7142,1.5275
0.97445,0.49543,0.80589,-0.92158,-0.080673,0.72328,1.2566,-1.3419,1.3103,-1.7747,-0.74574,0.47339
1.7269,0.20441,-0.28991,-0.89398,-0.49179,1.1854,1.5248,1.0503,-1.4772,-0.60813,-0.7306,1.4231
0.51936,2.3803,2.4039,0.44984,1.3012,4.5247,1.1379,2.4797,2.3326,-0.54315,1.7974,3.6071
1.15,-1.1085,1.134,3.4314,-0.85469,-0.82387,0.11806,0.85157,1.5366,3.4436,-0.76959,-0.7234
2.5074,1.2622,2.172,1.4608,-3.8113,2.6731,1.7365,2.5595,-0.0033183,2.3975,-3.4454,2.3101
0.18435,0.77715,1.9841,-1.1235,-0.66758,2.7783,0.74064,1.1254,2.1092,0.16173,-0.76107,2.6371
0.72106,3.3572,-0.64639,-2.104,-3.9113,4.1264,0.016488,3.6705,-0.51865,0.18741,-3.5365,2.2643
2.138,2.8639,2.0579,-0.58811,-0.37001,1.2811,1.9065,3.0653,1.9006,0.76924,-0.19483,1.4834
2.2866,-1.3786,-0.45621,0.45948,-3.2624,-1.125,1.3937,0.16328,0.2781,-0.94509,-3.024,-2.2601
0.18809,3.2021,2.1576,2.9426,1.2345,0.54618,0.73562,3.4867,2.1156,2.855,1.2426,0.27485
1.0434,-1.0387,1.4705,-1.1077,-3.4153,-2.3922,0.44864,0.28988,1.2179,0.42382,-4.1194,-2.2184
0.58698,-0.74105,0.38137,0.55757,1.3628,-0.43562,0.72546,0.36717,0.26843,-0.12456,0.35658,-0.14041
1.5428,2.6179,2.3588,-0.038458,-3.1211,0.0060562,-0.3523,2.4175,1.5258,-0.95798,-2.2012,-0.15233
-1.5079,-0.46193,2.2756,-0.93304,1.5326,1.064,-0.68151,-1.7912,2.3781,-2.0627,0.72514,1.8662
1.4057,0.39868,1.8864,-0.90583,-0.73441,0.75008,1.7699,1.1011,1.803,-1.2831,-0.97717,0.29675
-0.20244,0.8681,-0.47271,-0.35081,1.0923,4.1475,0.85087,0.63192,-0.36425,-0.41743,-1.2443,2.1896
0.83902,1.0354,-1.1122,2.9811,1.3025,2.0346,0.622,1.7035,-0.81595,3.5378,-0.45807,1.1111
1.0723,-0.86027,2.519,0.63257,-2.558,3.4412,1.5737,-0.68753,2.8521,1.717,-2.7181,2.3343
2.0502,1.4332,0.024188,2.5978,0.63164,1.9707,2.2041,1.1548,0.68358,2.7519,-0.057881,2.1461
0.15168,4.09,-0.95738,-1.1636,-2,-2.1303,0.099244,3.5773,0.063963,-1.3038,-2.0111,-2.498
2.2798,3.0708,-0.63638,0.93174,0.39803,2.2225,1.8806,2.9604,-0.42265,0.85534,0.41538,1.9917
1.8748,2.6546,1.3332,-1.6854,-3.9418,0.56491,-0.43155,1.9513,0.33884,-1.6983,-2.0991,1.7479
0.78999,1.0206,-0.98159,0.89528,-3.8909,-1.8746,-0.99517,0.92262,0.046791,-0.96249,-2.3832,-2.7408
2.6788,-0.3607,1.4278,1.2559,-1.7433,3.1226,2.609,1.0585,1.3519,1.2641,-1.3171,3.3305
0.033378,3.0897,-0.66706,1.5892,-0.50422,1.9078,-0.31758,3.2916,-1.0842,1.814,-0.8978,1.6968
1.8617,0.36327,1.6384,3.2777,-2.952,-1.0709,0.91009,1.0614,0.25536,2.765,-2.1487,-1.7491
-1.2645,1.5125,2.6872,-0.9519,-3.886,1.486,1.1541,-0.16089,1.9789,0.43568,-3.6542,2.4103
1.3296,1.7516,0.10592,-0.77651,0.89545,0.81641,1.2511,1.7506,-0.99894,-2.0445,0.64448,0.41577
1.3883,3.2563,-0.20834,3.7644,-1.7798,-1.1193,0.84031,3.4726,-1.2046,3.6416,-1.9421,-0.97737
1.5155,2.5106,-0.13982,3.1274,-1.709,-0.3421,0.77514,2.5275,0.35324,2.6741,-0.94136,-0.67879
2.9851,-1.7627,0.74184,4.3377,-1.5433,3.1368,2.8094,-0.20245,0.18306,4.2211,-1.6649,2.8575
2.8568,-1.0234,-1.1114,-0.53075,1.5596,3.4698,3.1202,2.0322,-0.67752,-0.054463,1.786,1.7714
0.98386,2.7808,0.65337,-1.4978,1.379,-2.4492,0.90116,2.8586,0.57608,-1.0338,1.3974,-4.1769
2.4899,4.2851,-1.1387,0.71071,0.35454,2.873,2.4722,5.1014,-0.70362,0.9693,-0.053048,1.9466
3.2574,0.13286,0.79811,3.724,-2.8447,1.7869,3.3696,-0.57358,2.8689,3.3818,-2.8167,1.8342
2.6163,1.7612,2.1619,3.1961,-3.8984,2.4934,2.7941,0.078592,0.11714,3.3802,-3.8908,2.8268
-0.76606,2.4645,0.62602,1.1272,0.559,-0.35944,-1.3762,2.4036,0.81822,0.90186,0.46091,-0.47654
0.90721,-0.18477,1.6618,-1.2993,1.1954,-1.9079,1.0541,-1.1397,1.9199,-1.8556,0.78549,0.0022931
0.28255,2.1761,-1.7484,-1.7889,1.1945,1.2439,0.18657,2.1097,-1.7166,-1.5766,2.1643,0.85481
0.8312,1.8333,-0.83169,0.99412,-0.79954,3.2086,0.55311,1.7432,0.26942,0.70937,-0.51858,3.4867
1.2889,0.97497,0.87514,2.1671,-1.5523,1.132,1.7457,-0.11365,-1.1638,1.4856,-0.5514,2.0723
1.8745,3.6412,-1.8502,-0.33685,0.32023,-2.1342,1.5177,3.1084,-0.73048,-0.24636,1.2183,-3.4669
0.60108,1.6836,1.7498,-1.3492,-3.6416,0.17191,-0.87004,0.068202,0.56904,-0.56456,-0.16378,0.8587
-0.13343,2.864,1.0722,0.72182,-3.1309,-0.70509,0.76189,2.2388,-0.37282,1.1958,-2.564,-1.1851
0.20092,0.90707,-0.20515,-0.061887,-3.5505,-2.0911,-1.4451,1.3129,1.0288,-0.33743,-2.7345,-2.2612
1.6296,0.50909,2.3265,-2.1439,-3.5916,-2.4589,0.19761,1.4735,1.8967,1.5732,-2.6614,-2.9111
1.9511,1.5656,1.9412,2.8702,-2.081,2.8977,2.062,1.732,2.3723,2.7353,-2.0043,3.1964
0.2617,-1.3598,-1.62,2.085,0.059607,3.874,0.619,-0.18007,-1.4908,2.54,-0.44119,2.8205
-0.50661,3.8156,-0.10515,2.8905,-0.8801,-1.2145,1.4846,3.473,0.598,3.013,-0.71817,-1.6925
3.1193,3.371,0.18473,1.4258,-0.68345,1.1362,3.0056,3.3093,0.10267,1.254,-0.57431,1.3067
0.76523,3.9033,1.3553,2.7474,1.5658,0.081766,0.28993,4.2203,1.5947,2.829,2.0546,-0.030372
1.1064,0.80043,-1.9858,-1.0749,-4.1009,4.115,-0.86921,1.9598,0.21717,-0.64182,-2.8993,2.8215
-0.81188,-0.27044,-0.7433,1.634,1.0748,1.2943,-2.0141,0.36622,-0.44921,1.5174,2.3608,2.1113
1.889,-0.70214,0.13188,4.0784,0.065886,2.9696,1.7323,0.19969,-0.3413,4.4957,0.1653,3.4994
1.3162,1.3179,-1.1286,0.31691,-0.55187,-1.0084,1.2148,1.8868,-0.72155,-0.30562,-0.18171,-0.9085
1.9085,1.3069,2.3374,-1.5322,1.7004,3.9186,2.1447,1.4482,2.1863,0.39678,1.9199,3.2059
-0.044345,0.1551,0.4144,2.6392,-0.084886,1.7903,0.28937,-0.78366,0.68121,2.5116,1.2666,1.454
2.2459,2.893,1.664,-1.3374,-0.10896,-1.0584,2.4827,3.2078,1.6154,-0.57792,-0.11615,-0.68413
-1.0985,2.9803,-0.066495,0.33764,-0.29379,-0.50154,0.33159,2.9497,0.4189,-0.58205,-0.20134,-0.33782
1.8469,0.038897,-1.2494,3.5283,-2.4678,1.0991,1.5499,0.41714,-0.40861,2.6686,-2.2938,1.7536
